"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
45116.4400429971,-1.78235489076929,0.0360626106594638,-49.4239007707988,0,0,"ENSG00000184009"
42387.1953205308,-1.33199227152733,0.0468113219648313,-28.4544895469527,4.28804217667295e-178,1.86294683985262e-175,"ENSG00000075624"
42361.1970679036,-3.53545357782662,0.0422539476289641,-83.6715567707843,0,0,"ENSG00000137801"
26016.0813066253,-1.72710462487095,0.0448738490634829,-38.4879982643703,0,0,"ENSG00000103257"
20368.2130633679,-1.91104710144079,0.0411042138149036,-46.4927296759992,0,0,"ENSG00000169429"
15586.0773812153,-1.13081621544952,0.0445001222231913,-25.4115305521608,1.88062407085582e-142,6.03053452054434e-140,"ENSG00000167553"
13483.5854357438,-1.082215119348,0.0530499462710303,-20.3999286600405,1.6745968670679e-92,2.75042324459396e-90,"ENSG00000038382"
12520.048940828,-2.28141515719514,0.0578183862643518,-39.4582987280943,0,0,"ENSG00000112096"
9646.18745576956,-1.60467969113965,0.0348869926362899,-45.9965038508491,0,0,"ENSG00000124145"
8777.95960802342,-1.41291887661537,0.0563642041642804,-25.0676630241641,1.12066577658396e-138,3.51002946024019e-136,"ENSG00000080824"
8686.68641115346,-1.43739447947281,0.0679617957436997,-21.1500367779211,2.75726762395876e-99,5.08696991225707e-97,"ENSG00000026025"
8574.67334889113,-1.16770792613501,0.0382061673743735,-30.5633358795953,3.76043209951134e-205,2.02581998064875e-202,"ENSG00000159176"
7645.12013053501,-2.48668559109565,0.184939924992953,-13.445910022892,3.25378062669087e-41,1.62303398075084e-39,"ENSG00000106366"
6749.50529903777,-1.09332330935667,0.0558878815189377,-19.5627975089054,3.20974838591539e-85,4.64826787758155e-83,"ENSG00000105281"
6739.04746357966,-1.850975594171,0.0407750916036493,-45.3947623751098,0,0,"ENSG00000026508"
5981.55324907616,-2.62098458373907,0.0541312397253271,-48.4190755105273,0,0,"ENSG00000122861"
5940.3223689922,-2.37753961994287,0.0561968022919708,-42.3073826797182,0,0,"ENSG00000090339"
5889.66642926342,-1.46941432631529,0.0860811222139682,-17.0701111756284,2.47727702506704e-65,2.36623879245411e-63,"ENSG00000164292"
5843.98575080837,-1.05106394262182,0.0515819677379204,-20.3765771007827,2.6988070812228e-92,4.32708735356056e-90,"ENSG00000187498"
5793.9768375743,-3.05737316338506,0.0692689145495866,-44.137737443488,0,0,"ENSG00000108691"
5514.07003132069,-1.55049514091587,0.0525397335760448,-29.5109060397446,2.0860428672401e-191,9.68787080551366e-189,"ENSG00000100345"
5508.98708793191,-3.04693651534035,0.0650393647489412,-46.8475749586708,0,0,"ENSG00000185215"
5486.39416394262,-1.00743868935233,0.0507766086848998,-19.8406060476411,1.32847613935906e-87,2.01032771290875e-85,"ENSG00000113580"
5393.20386124785,-2.25427522360139,0.0443042669064663,-50.8816730533098,0,0,"ENSG00000168685"
5388.71681771396,-1.65077410522667,0.0699392463193391,-23.6029724668367,3.59254465964111e-123,9.30469066847048e-121,"ENSG00000148154"
5266.57409922264,-1.26844244291393,0.0664939068228226,-19.0760703276734,3.99166131263579e-81,5.27055829005674e-79,"ENSG00000150938"
5017.14148249417,-1.17355077041077,0.0499725012314579,-23.4839309918716,5.95339158569176e-122,1.51283543162446e-119,"ENSG00000173193"
4963.71743677022,-1.42697826688832,0.0468560983190034,-30.4544833667806,1.04487308832287e-203,5.41244259751248e-201,"ENSG00000162909"
4863.22553107849,-1.48846662319206,0.0448306333700641,-33.2019985286666,1.00737481422108e-241,7.14069684101551e-239,"ENSG00000169710"
4781.81193047566,-1.81346025276288,0.226013683006182,-8.02367462289121,1.02627921740901e-15,1.62994439859252e-14,"ENSG00000124942"
4778.32635448665,-1.06051448489357,0.049285760753231,-21.517664913472,1.06387085332162e-102,2.10709009596112e-100,"ENSG00000108821"
4622.86022056251,-1.47150353668491,0.0441522010254801,-33.3279769186526,1.51902401900041e-243,1.13656752710542e-240,"ENSG00000158470"
4604.79824669294,-1.37295474733738,0.0485587247703543,-28.2741104473071,7.1945993166473e-176,3.02802698739393e-173,"ENSG00000116133"
4449.44125002201,-2.04122199326207,0.07720065270531,-26.4404758474493,4.69552582408228e-154,1.70917139996595e-151,"ENSG00000138061"
4342.47829084482,-1.88944055892969,0.0515180624659827,-36.6753031556124,1.80841278273324e-294,1.43268843281478e-291,"ENSG00000145860"
4280.61174169005,-2.2328967990946,0.0680917076760065,-32.7924922917068,7.53371189316473e-236,4.83162056081632e-233,"ENSG00000186480"
4214.53709419409,-2.55024194348059,0.0681889763801462,-37.3996220336739,3.96302932684257e-306,3.33587993586973e-303,"ENSG00000118503"
4104.95106957964,-1.61205705837459,0.0487733289819454,-33.0520202746737,1.45503180863085e-239,9.79818419932014e-237,"ENSG00000136997"
3934.99468274665,-1.25676592233216,0.0671298588090976,-18.7214146525486,3.31236190115095e-78,4.05553546224554e-76,"ENSG00000060138"
3799.40668456195,-1.56631360290434,0.055404230064528,-28.270650112457,7.93501021135776e-176,3.23844598565353e-173,"ENSG00000122786"
3782.55530011443,-1.7683646656825,0.0570166798915567,-31.0148656331069,3.39809379478344e-211,1.98980553165841e-208,"ENSG00000111335"
3747.66835689454,-1.37707846236628,0.0524511435751513,-26.254498348415,6.35040222544731e-152,2.25071624137696e-149,"ENSG00000163659"
3689.82843703351,-2.19297917127524,0.0760556349539793,-28.8338815736952,8.07010923131639e-183,3.62294103757897e-180,"ENSG00000056558"
3515.47653786514,-1.01956699363097,0.0474281647025353,-21.4970787932781,1.65801386390642e-102,3.23625082885387e-100,"ENSG00000134013"
3460.77507532456,-2.18925651432195,0.358717259620781,-6.10301415838294,1.04086617869612e-09,9.80992700817306e-09,"ENSG00000103335"
3426.16995948841,-1.11300941303996,0.0600708318273027,-18.5282836808343,1.22120394349537e-76,1.46849774205318e-74,"ENSG00000049759"
