"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
6739.04746357966,-1.850975594171,0.0407750916036493,-45.3947623751098,0,0,"ENSG00000026508"
5940.3223689922,-2.37753961994287,0.0561968022919708,-42.3073826797182,0,0,"ENSG00000090339"
26016.0813066253,-1.72710462487095,0.0448738490634829,-38.4879982643703,0,0,"ENSG00000103257"
5793.9768375743,-3.05737316338506,0.0692689145495866,-44.137737443488,0,0,"ENSG00000108691"
12520.048940828,-2.28141515719514,0.0578183862643518,-39.4582987280943,0,0,"ENSG00000112096"
5981.55324907616,-2.62098458373907,0.0541312397253271,-48.4190755105273,0,0,"ENSG00000122861"
9646.18745576956,-1.60467969113965,0.0348869926362899,-45.9965038508491,0,0,"ENSG00000124145"
42361.1970679036,-3.53545357782662,0.0422539476289641,-83.6715567707843,0,0,"ENSG00000137801"
2877.09797552225,-2.16622669306066,0.0572374602762417,-37.8463104862783,0,0,"ENSG00000140416"
3394.90926597041,-2.87590673509658,0.0590461679113154,-48.7060691121575,0,0,"ENSG00000163661"
5393.20386124785,-2.25427522360139,0.0443042669064663,-50.8816730533098,0,0,"ENSG00000168685"
2004.98731561624,-2.83705800399536,0.0751418195656759,-37.7560461058,0,0,"ENSG00000169242"
20368.2130633679,-1.91104710144079,0.0411042138149036,-46.4927296759992,0,0,"ENSG00000169429"
45116.4400429971,-1.78235489076929,0.0360626106594638,-49.4239007707988,0,0,"ENSG00000184009"
5508.98708793191,-3.04693651534035,0.0650393647489412,-46.8475749586708,0,0,"ENSG00000185215"
4214.53709419409,-2.55024194348059,0.0681889763801462,-37.3996220336739,3.96302932684257e-306,3.33587993586973e-303,"ENSG00000118503"
4342.47829084482,-1.88944055892969,0.0515180624659827,-36.6753031556124,1.80841278273324e-294,1.43268843281478e-291,"ENSG00000145860"
4622.86022056251,-1.47150353668491,0.0441522010254801,-33.3279769186526,1.51902401900041e-243,1.13656752710542e-240,"ENSG00000158470"
4863.22553107849,-1.48846662319206,0.0448306333700641,-33.2019985286666,1.00737481422108e-241,7.14069684101551e-239,"ENSG00000169710"
4104.95106957964,-1.61205705837459,0.0487733289819454,-33.0520202746737,1.45503180863085e-239,9.79818419932014e-237,"ENSG00000136997"
4280.61174169005,-2.2328967990946,0.0680917076760065,-32.7924922917068,7.53371189316473e-236,4.83162056081632e-233,"ENSG00000186480"
2479.93992552943,-1.8901817504916,0.0590221117638749,-32.0249766401701,4.89787470086683e-225,2.99838983960338e-222,"ENSG00000120708"
3782.55530011443,-1.7683646656825,0.0570166798915567,-31.0148656331069,3.39809379478344e-211,1.98980553165841e-208,"ENSG00000111335"
2592.84234654655,-2.04761980813661,0.0667332318817443,-30.6836601554849,9.40303974613265e-207,5.27667247087144e-204,"ENSG00000106484"
8574.67334889113,-1.16770792613501,0.0382061673743735,-30.5633358795953,3.76043209951134e-205,2.02581998064875e-202,"ENSG00000159176"
4963.71743677022,-1.42697826688832,0.0468560983190034,-30.4544833667806,1.04487308832287e-203,5.41244259751248e-201,"ENSG00000162909"
1355.3763250524,-2.28741871133414,0.0765806128987908,-29.8694228832721,4.91220119418369e-196,2.45027872900985e-193,"ENSG00000157168"
2543.85176767275,-1.74172049166016,0.0585347485524615,-29.7553254217732,1.47977019325983e-194,7.11769462957978e-192,"ENSG00000107201"
5514.07003132069,-1.55049514091587,0.0525397335760448,-29.5109060397446,2.0860428672401e-191,9.68787080551366e-189,"ENSG00000100345"
3689.82843703351,-2.19297917127524,0.0760556349539793,-28.8338815736952,8.07010923131639e-183,3.62294103757897e-180,"ENSG00000056558"
42387.1953205308,-1.33199227152733,0.0468113219648313,-28.4544895469527,4.28804217667295e-178,1.86294683985262e-175,"ENSG00000075624"
4604.79824669294,-1.37295474733738,0.0485587247703543,-28.2741104473071,7.1945993166473e-176,3.02802698739393e-173,"ENSG00000116133"
3799.40668456195,-1.56631360290434,0.055404230064528,-28.270650112457,7.93501021135776e-176,3.23844598565353e-173,"ENSG00000122786"
2996.15698824676,-1.51430780946862,0.0537491621067239,-28.1736077385137,1.2315663161798e-174,4.87845151362046e-172,"ENSG00000110880"
2362.37519101104,-1.90061679091549,0.0692879162711864,-27.4307107674685,1.18035419023122e-165,4.54200292400974e-163,"ENSG00000111057"
1448.49900293893,-2.12392591588004,0.0801113457400262,-26.5121737284567,7.01603667272039e-155,2.62477727522773e-152,"ENSG00000168209"
4449.44125002201,-2.04122199326207,0.07720065270531,-26.4404758474493,4.69552582408228e-154,1.70917139996595e-151,"ENSG00000138061"
3747.66835689454,-1.37707846236628,0.0524511435751513,-26.254498348415,6.35040222544731e-152,2.25071624137696e-149,"ENSG00000163659"
1516.97578341066,-1.99719123946097,0.0769291846235067,-25.9614247731245,1.35110703947754e-148,4.66582297632911e-146,"ENSG00000139211"
1072.83390203598,-2.31568858619161,0.0895224738402167,-25.8671201415272,1.56174448455219e-147,5.25839367948723e-145,"ENSG00000173391"
1604.97335820887,-1.74335554356267,0.0684146665133499,-25.482190185382,3.10605894891693e-143,1.02030248595154e-140,"ENSG00000162772"
15586.0773812153,-1.13081621544952,0.0445001222231913,-25.4115305521608,1.88062407085582e-142,6.03053452054434e-140,"ENSG00000167553"
8777.95960802342,-1.41291887661537,0.0563642041642804,-25.0676630241641,1.12066577658396e-138,3.51002946024019e-136,"ENSG00000080824"
1469.44896332827,-2.0002367944935,0.0801498570854969,-24.9562116169443,1.82831590702754e-137,5.59630878087429e-135,"ENSG00000149591"
2185.42581942019,-1.48781392404053,0.0597978401940636,-24.8807301269091,1.20287310925947e-136,3.6000655634459e-134,"ENSG00000184371"
787.933664268171,-3.21761967002535,0.129730847359849,-24.8022712832537,8.47310135229404e-136,2.48077671766731e-133,"ENSG00000122641"
865.418030466958,-2.28601607116384,0.093185603092341,-24.5318589492687,6.75543132877774e-133,1.93579040714848e-130,"ENSG00000107984"
1164.21043413978,-2.41196861103866,0.0996668149100164,-24.2003179615632,2.20764180794162e-129,6.19427497278287e-127,"ENSG00000166741"
1831.77760351516,-1.50351885780168,0.0625335409006384,-24.0433987288624,9.78652484685428e-128,2.68989625790681e-125,"ENSG00000101384"
2726.3544205534,-1.32203819417848,0.0551363857168412,-23.9775998551656,4.76365932244617e-127,1.2831392750941e-124,"ENSG00000117450"
1203.23875059591,-2.65791602347747,0.112155736382458,-23.6984403045942,3.7417064930293e-124,9.8810398133566e-122,"ENSG00000128342"
5388.71681771396,-1.65077410522667,0.0699392463193391,-23.6029724668367,3.59254465964111e-123,9.30469066847048e-121,"ENSG00000148154"
5017.14148249417,-1.17355077041077,0.0499725012314579,-23.4839309918716,5.95339158569176e-122,1.51283543162446e-119,"ENSG00000173193"
2190.96799576194,-1.32515632595742,0.0566221042160175,-23.4035160703645,3.93542517366402e-121,9.81524189609389e-119,"ENSG00000177606"
1915.48040463961,-1.74346618603155,0.07543091682537,-23.1134163471437,3.39385209039025e-118,8.31061817334106e-116,"ENSG00000135480"
2803.56871261251,-1.22439530129685,0.0531518879439006,-23.0357819573435,2.04237816489657e-117,4.91191948657625e-115,"ENSG00000110330"
2011.31220884291,-1.3563656408841,0.0590572827472916,-22.966949676436,9.97750136114823e-117,2.35749102336745e-114,"ENSG00000136205"
2598.8236557376,-1.37265104986997,0.0599387526284693,-22.9008944910541,4.5517941227138e-116,1.05695798697775e-113,"ENSG00000183486"
2574.11763399466,-1.32628073303169,0.058320652848634,-22.7411846104318,1.75429760633669e-114,4.00455595968518e-112,"ENSG00000145632"
747.945326071827,-2.29612847626912,0.101339640153151,-22.6577524135577,1.17000891989415e-113,2.62628002218907e-111,"ENSG00000136244"
956.986535562897,-1.98675334279555,0.0881791244721671,-22.5308808030029,2.0680312037785e-112,4.56594168073588e-110,"ENSG00000117525"
2093.19546304723,-1.45623143643735,0.0651958758795107,-22.336250825568,1.64265365740474e-110,3.56826765450436e-108,"ENSG00000105974"
940.694118943805,-2.13371474640646,0.0957609487298651,-22.2816792722628,5.5632603658478e-110,1.18930143821013e-107,"ENSG00000163739"
7576.84052799496,-0.939965612022618,0.0422399750844239,-22.2529868955636,1.05525806105036e-109,2.22065868222285e-107,"ENSG00000085063"
2224.90965103142,-1.35855169039495,0.0610983916962649,-22.2354738427264,1.55913921468562e-109,3.2305364528286e-107,"ENSG00000110092"
2887.56777806032,-1.30541435690395,0.0599920663920756,-21.7597831748697,5.5811625502893e-105,1.13889541253479e-102,"ENSG00000130635"
2765.22091278585,-2.25325888876818,0.104406014287148,-21.5816962667595,2.66895019435021e-103,5.3649882414192e-101,"ENSG00000120738"
4778.32635448665,-1.06051448489357,0.049285760753231,-21.517664913472,1.06387085332162e-102,2.10709009596112e-100,"ENSG00000108821"
3515.47653786514,-1.01956699363097,0.0474281647025353,-21.4970787932781,1.65801386390642e-102,3.23625082885387e-100,"ENSG00000134013"
1072.43573479414,-1.72495680152989,0.0806195105327439,-21.3962698375512,1.44734725655005e-101,2.7846961216023e-99,"ENSG00000118515"
2038.99657595571,-1.47804821145095,0.0697575758326165,-21.1883540075637,1.22298332148653e-99,2.31987878503953e-97,"ENSG00000145555"
2134.70250125486,-1.19938935910895,0.05663472920807,-21.1776303317796,1.5356546430261e-99,2.87252732392716e-97,"ENSG00000142871"
8686.68641115346,-1.43739447947281,0.0679617957436997,-21.1500367779211,2.75726762395876e-99,5.08696991225707e-97,"ENSG00000026025"
1246.82574432747,-1.82420254546716,0.0865611239944839,-21.0741550165569,1.37335467331284e-98,2.49950550542937e-96,"ENSG00000100906"
3122.18370196688,-1.15248553339658,0.0551581991827114,-20.8941834663415,6.04821301883107e-97,1.08609777250156e-94,"ENSG00000137124"
1959.77394229559,-1.91997248461979,0.0920940663530777,-20.8479499347856,1.59094158027755e-96,2.81931594778658e-94,"ENSG00000092969"
449.944171352291,-3.08195693049673,0.148407812830348,-20.7668105318677,8.64089515039885e-96,1.51137111539704e-93,"ENSG00000164400"
1994.80244229412,-1.43710634736646,0.0693046347634889,-20.7360785071702,1.63743198896141e-95,2.82729923427336e-93,"ENSG00000159216"
11314.269417274,-0.748411547950488,0.0362077382363852,-20.6699336772825,6.46049651130844e-95,1.10139198752281e-92,"ENSG00000096384"
18221.4433707877,-0.793442323325805,0.0385774240990032,-20.5675298923421,5.3628776893876e-94,9.02840459008402e-92,"ENSG00000067225"
2195.39447803937,-1.2516225883054,0.0609465146707754,-20.5364095890715,1.01816938080879e-93,1.69292657046084e-91,"ENSG00000130164"
13483.5854357438,-1.082215119348,0.0530499462710303,-20.3999286600405,1.6745968670679e-92,2.75042324459396e-90,"ENSG00000038382"
2374.25913036738,-1.1754779189116,0.0576260613486166,-20.3983734338599,1.7287068290777e-92,2.80508717759259e-90,"ENSG00000139289"
5843.98575080837,-1.05106394262182,0.0515819677379204,-20.3765771007827,2.6988070812228e-92,4.32708735356056e-90,"ENSG00000187498"
5520.21443825613,-0.891384093865225,0.0440730425001115,-20.2251545003495,5.88059438178251e-91,9.3176288392761e-89,"ENSG00000105220"
1333.55361472576,-1.66245894330836,0.0826309481285841,-20.1190834785214,5.022776157096e-90,7.86590107950801e-88,"ENSG00000153395"
1119.92422702229,-1.92954180667178,0.096570197657643,-19.9807171723135,8.10511678452368e-89,1.25470934314902e-86,"ENSG00000137331"
991.827935041714,-1.8248523847453,0.0916834769269403,-19.9038305037174,3.76987478378488e-88,5.76962199863803e-86,"ENSG00000145901"
5486.39416394262,-1.00743868935233,0.0507766086848998,-19.8406060476411,1.32847613935906e-87,2.01032771290875e-85,"ENSG00000113580"
9945.02456968611,-0.845069693616068,0.0426429150138595,-19.8173528554839,2.1091528875962e-87,3.15623012112729e-85,"ENSG00000160710"
20272.1240981115,-0.573687277364399,0.0290225731884563,-19.7669336085121,5.73579260051774e-87,8.48897304876625e-85,"ENSG00000074800"
1171.56376470849,-1.59415195134941,0.0811525365608901,-19.6438955442051,6.51996530879704e-86,9.54466225857375e-84,"ENSG00000120217"
6749.50529903777,-1.09332330935667,0.0558878815189377,-19.5627975089054,3.20974838591539e-85,4.64826787758155e-83,"ENSG00000105281"
1185.52801239152,-1.65216161232708,0.0848357170492395,-19.4748352438414,1.79500884219677e-84,2.57182756241554e-82,"ENSG00000023445"
2086.25222143153,-1.28729920054128,0.0661715963824786,-19.4539541270934,2.69801263625367e-84,3.82492991421731e-82,"ENSG00000063660"
1442.31065174473,-1.41640278674319,0.0731259817026001,-19.3693507254868,1.40011969798376e-83,1.96425125962971e-81,"ENSG00000198355"
4341.15272730768,-0.913256709341546,0.0472184134079811,-19.3411138457944,2.42187076888799e-83,3.36265520777149e-81,"ENSG00000110651"
611.645137133512,-2.22046146177608,0.115523069378229,-19.2209354696607,2.47271649876649e-82,3.39821895973337e-80,"ENSG00000135111"
1791.32962108119,-1.74753715525328,0.0913550200527667,-19.1290763686976,1.44613707827779e-81,1.9673307242672e-79,"ENSG00000135114"
2711.34648483153,-1.32640686555853,0.0693571727987534,-19.124292586251,1.58509220052251e-81,2.13480217566372e-79,"ENSG00000111912"
8156.81041511145,-0.707658398767134,0.0370808848077835,-19.084183196691,3.4177760049523e-81,4.55748586482154e-79,"ENSG00000182718"
5266.57409922264,-1.26844244291393,0.0664939068228226,-19.0760703276734,3.99166131263579e-81,5.27055829005674e-79,"ENSG00000150938"
2772.88385992159,-1.09372330420359,0.0574317139618857,-19.0438910621654,7.38331584675787e-81,9.65422308972185e-79,"ENSG00000104549"
674.826980381859,-2.33226433764357,0.122497989351886,-19.0392050513085,8.07438330469499e-81,1.045632637958e-78,"ENSG00000115008"
5068.03932934111,-0.988333382976133,0.0519158733224291,-19.0372100039228,8.38783836247167e-81,1.07588006729303e-78,"ENSG00000113739"
7166.44749937528,-0.746762952459013,0.0393203164622155,-18.9917838829351,1.99437073370243e-80,2.53397972089663e-78,"ENSG00000167460"
3173.8476491297,-1.03129793315087,0.0545297383198188,-18.9125780707449,8.98546043516199e-80,1.13099234710992e-77,"ENSG00000265972"
1288.70720194587,-1.37322727702951,0.072841486541038,-18.8522687034379,2.81506669318506e-79,3.51049242813114e-77,"ENSG00000113657"
2269.93837832408,-1.03036765329632,0.0548642411237162,-18.7803135921062,1.09431869375043e-78,1.35213616214962e-76,"ENSG00000171793"
3934.99468274665,-1.25676592233216,0.0671298588090976,-18.7214146525486,3.31236190115095e-78,4.05553546224554e-76,"ENSG00000060138"
32293.8781815976,-0.848405476511372,0.0456916280410363,-18.5680728152082,5.82566678443471e-77,7.06847569844744e-75,"ENSG00000196924"
3426.16995948841,-1.11300941303996,0.0600708318273027,-18.5282836808343,1.22120394349537e-76,1.46849774205318e-74,"ENSG00000049759"
6383.84748721399,-0.722232152966379,0.0389954140034437,-18.5209510252308,1.39943055756634e-76,1.6679230751596e-74,"ENSG00000179051"
6784.57975028823,-0.684499050390728,0.0370901007351258,-18.4550334677976,4.75070755331879e-76,5.61250257264013e-74,"ENSG00000104635"
1295.22099102674,-1.41387599093365,0.0770250674141415,-18.3560500289035,2.95322834277026e-75,3.45861559308086e-73,"ENSG00000059378"
631.867319597584,-2.05629980655946,0.112364059841116,-18.3003338386588,8.22433990311961e-75,9.54874222544956e-73,"ENSG00000120337"
476.300486422529,-2.84430197063136,0.156422741709913,-18.1834299766087,6.98266049533398e-74,8.03781808129555e-72,"ENSG00000128422"
1245.56361593199,-1.5262441814666,0.0839606138109337,-18.1780969932339,7.69583517263402e-74,8.78368712754534e-72,"ENSG00000172534"
943.439476544694,-1.59554200951957,0.087995602189598,-18.1320653511952,1.77948271794125e-73,2.01395573489351e-71,"ENSG00000221963"
2573.79945311858,1.18243003332065,0.0653856512249654,18.0839375485057,4.26508831158333e-73,4.78685078170035e-71,"ENSG00000204386"
13349.9778159048,-0.641489229618178,0.0355576418369805,-18.0408260075059,9.31412813516048e-73,1.03671634482927e-70,"ENSG00000111331"
662.326932050525,-1.90478617300872,0.105858391985582,-17.9937191306303,2.18209063681661e-72,2.39221182125993e-70,"ENSG00000117228"
1181.25549784926,-1.34036192637912,0.0744908232914752,-17.9936516627615,2.18474943581059e-72,2.39221182125993e-70,"ENSG00000136261"
2104.36148336824,-1.76811619667372,0.0986836370360491,-17.9170149153281,8.68659999485387e-72,9.43476844602354e-70,"ENSG00000198431"
6145.97281807923,-0.783269244419745,0.043770408045374,-17.8949495651898,1.29113671182852e-71,1.39112233879252e-69,"ENSG00000131473"
422.513009464213,-2.6562117911737,0.148449414566745,-17.8930432223391,1.33608136402346e-71,1.42812252465619e-69,"ENSG00000162692"
2138.621366936,-1.27155919936493,0.0712675400530401,-17.8420526149575,3.33227183368895e-71,3.533782445364e-69,"ENSG00000013588"
1142.20397916678,1.43208372644024,0.0804566618857844,17.7994424933166,7.13758682617182e-71,7.51007963866267e-69,"ENSG00000197355"
3266.18307123849,-1.09204846696422,0.0614249544893305,-17.778579993151,1.03570087741046e-70,1.08130383077241e-68,"ENSG00000086062"
1742.2243009601,-1.49682066437123,0.0844752175052979,-17.7190507296103,2.9891387596746e-70,3.09674775502288e-68,"ENSG00000010818"
1422.94731022333,-1.48157914602283,0.0837571886220279,-17.6889789449449,5.09910250016301e-70,5.24234446352636e-68,"ENSG00000170421"
423.820594264287,-2.25041741282884,0.127866352503084,-17.599762320385,2.47360118169868e-69,2.52382278144832e-67,"ENSG00000132274"
5082.01094804052,-0.735512121663892,0.0418442074378086,-17.5773940217904,3.67063725147233e-69,3.71700319570145e-67,"ENSG00000175166"
2177.19748368197,-1.20086064081078,0.0688604542617076,-17.4390461649708,4.16975009158665e-68,4.19091001742455e-66,"ENSG00000198910"
3890.91278933256,-0.868955963661865,0.0500446870623013,-17.3636007071058,1.55648375356021e-67,1.55279431058881e-65,"ENSG00000035403"
844.015071423686,-1.9036163244736,0.109687660311258,-17.3548812972376,1.81174527816675e-67,1.79416069164336e-65,"ENSG00000131459"
2019.16094944568,-1.13626785718698,0.0658008124317987,-17.268295256456,8.15149470251169e-67,8.01345479222098e-65,"ENSG00000070404"
4550.78197060265,-0.897236043820225,0.0520357811271003,-17.2426746439854,1.27021640124539e-66,1.2396575718821e-64,"ENSG00000163840"
800.043963403313,1.71279838122456,0.0994721846414596,17.2188676402174,1.9170217625331e-66,1.85744238113639e-64,"ENSG00000025039"
3989.34559828454,-0.834170598120006,0.0486818537936367,-17.1351444761342,8.11511012148755e-66,7.80673593687102e-64,"ENSG00000155380"
