"gene_id","WT.1_count","WT.2_count","WT.3_count","KO.1_count","KO.2_count","KO.3_count","WT.12h.1_count","WT.12h.2_count","WT.12h.3_count","WT.24h.1_count","WT.24h.2_count","WT.24h.3_count","KO.12h.1_count","KO.12h.2_count","KO.12h.3_count","KO.24h.1_count","KO.24h.2_count","KO.24h.3_count"
"C2R79_RS06580",4110,3965,7048,3549,4926,3308,30809,19717,21789,12062,13128,15651,11020,10679,12575,12204,9706,10100
"C2R79_RS06585",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2R79_RS06590",0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
"C2R79_RS06595",15,7,14,18,22,21,159,117,135,140,128,109,80,73,88,82,79,74
"C2R79_RS06600",74,62,98,103,162,102,1667,934,1218,1620,1567,1714,544,499,587,460,324,482
"C2R79_RS06605",3,0,2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
"C2R79_RS06610",337,308,579,309,525,366,56,36,35,78,70,75,28,24,18,33,34,31
"C2R79_RS06615",3158,3035,5403,2391,3244,2246,7445,4745,5452,5161,5891,6252,2388,2433,2655,4852,4252,3820
"C2R79_RS06620",1595,1491,2710,818,1203,786,868,580,630,526,448,483,263,232,221,240,174,190
"C2R79_RS06625",265,186,355,303,506,327,1177,772,839,754,674,875,507,527,554,592,415,476
"C2R79_RS06630",5286,4739,8879,4104,5856,3635,29144,19954,22567,42964,40350,48642,11528,10786,12451,23879,19359,20097
"C2R79_RS06635",79508,74873,136446,48802,70027,48320,205738,143148,168267,350196,344566,382663,77013,66549,82667,148525,116166,122543
"C2R79_RS06640",9505,8734,16128,8675,12248,8295,124583,77636,91535,138403,143987,159955,32860,30131,39612,37312,28653,29148
"C2R79_RS06645",65,56,100,82,138,120,1695,1000,1220,310,346,381,585,526,739,446,390,396
"C2R79_RS06650",0,0,3,0,1,0,45,25,53,13,7,4,32,13,20,16,2,7
"C2R79_RS06655",34,39,57,28,49,28,988,471,628,250,305,251,288,243,337,229,158,224
"C2R79_RS06660",6,19,42,20,57,24,134,87,97,40,48,35,51,47,48,31,36,37
"C2R79_RS06665",21,46,46,36,61,46,705,461,540,265,315,328,256,238,309,228,174,230
"C2R79_RS06670",10,8,20,14,21,15,35,15,19,17,36,27,18,8,16,29,16,23
"C2R79_RS06675",377,357,661,482,725,475,1641,847,1122,1208,1167,1380,612,563,732,1288,910,1088
"C2R79_RS06680",261,258,445,312,512,303,1382,777,941,907,757,812,349,343,474,365,295,342
"C2R79_RS06685",626,560,1012,477,716,446,2721,1698,1966,1515,1563,1632,873,779,1032,884,736,762
"C2R79_RS06690",484,481,877,753,1033,659,1894,1293,1415,1091,981,1239,753,764,879,881,804,772
"C2R79_RS06695",22,17,27,27,54,34,42,31,33,22,21,15,11,20,20,20,6,14
"C2R79_RS06700",186,159,275,325,410,300,2166,1282,1557,1069,1052,1127,727,667,905,1025,686,782
"C2R79_RS06705",85,79,110,97,126,90,1921,1127,1448,747,832,901,654,535,754,850,611,700
"C2R79_RS06710",19,27,45,57,53,38,177,67,139,62,73,68,72,59,72,36,28,28
"C2R79_RS06715",100,76,180,181,289,179,826,452,592,482,539,571,350,320,451,479,305,415
"C2R79_RS06720",101,81,186,170,223,157,1202,741,933,652,564,637,478,408,516,325,235,322
"C2R79_RS06725",1141,1139,1960,1122,1557,1033,6005,4108,4317,5714,5072,6059,2014,1889,2260,3094,2773,2588
"C2R79_RS06730",795,731,1333,867,1205,846,9149,6032,6924,6828,6833,8047,3572,3594,3910,6901,6252,5927
"C2R79_RS06735",94,78,133,58,81,39,3124,1675,2087,1323,1422,1569,677,622,891,542,374,421
"C2R79_RS06740",0,0,0,7,5,2,4,4,4,3,4,4,0,1,2,0,0,4
"C2R79_RS06745",0,0,0,1,2,0,26,11,22,5,5,8,7,7,3,4,2,4
"C2R79_RS06750",1316,1332,2318,906,1324,960,3347,2316,2501,1665,1654,1970,1244,1351,1307,1402,1263,1212
"C2R79_RS06755",14937,12793,23939,8175,11504,8277,8982,6393,6988,24666,23464,25249,3073,2937,3018,6138,4399,4749
"C2R79_RS06760",1511,1410,2627,1423,1985,1309,3702,2525,2918,3427,3385,3975,1615,1435,1799,2380,1699,1806
"C2R79_RS06765",454,476,836,454,611,425,90,69,68,92,82,104,37,28,47,49,21,50
"C2R79_RS06770",1459,1364,2301,1317,1919,1272,460,360,386,565,591,571,196,229,233,269,232,237
"C2R79_RS06775",100,99,161,76,98,78,77,35,44,35,38,43,22,13,39,34,15,14
"C2R79_RS06780",101,100,201,74,115,73,1320,823,1018,1254,1326,1336,485,387,563,806,663,654
"C2R79_RS06785",401,366,656,245,387,238,2296,1478,1772,2542,2716,2946,890,817,992,1696,1338,1379
"C2R79_RS06820",50450,48210,86477,82471,117645,82144,77756,58995,63585,121232,120955,130340,29566,29493,31463,52191,40633,40368
"C2R79_RS06825",11192,10655,19737,17762,24955,18485,2655,2046,2122,4771,4338,4738,1125,937,1093,2020,1279,1444
"C2R79_RS06835",207,170,375,247,416,275,1382,860,912,1314,1298,1443,495,390,551,939,598,724
"C2R79_RS06840",344,302,524,256,435,285,419,246,332,423,393,427,194,143,229,300,214,236
"C2R79_RS06845",1656,1583,2737,2031,2911,1898,4843,2946,3591,4972,5001,5674,2072,1799,2245,4134,3343,3610
"C2R79_RS06850",10,2,7,30,40,32,16,6,13,8,15,13,3,6,11,4,4,2
"C2R79_RS06855",28,14,53,114,136,88,88,47,75,49,62,55,48,29,59,30,26,20
"C2R79_RS06860",359,362,644,1345,1877,1170,7849,3913,5374,2131,2331,2521,2702,2234,3029,1538,1156,1257
"C2R79_RS06870",528,525,939,568,790,513,5732,3513,4093,2767,3000,3289,2297,2254,2737,2876,2609,2453
"C2R79_RS06875",1089,1051,1936,1014,1398,979,3991,2543,3151,2473,2839,3303,1438,1392,1712,1964,1447,1592
"C2R79_RS06880",2130,2009,3448,2410,3287,2170,9314,7104,6995,6749,6954,8166,3469,3846,3845,6091,5049,5025
"C2R79_RS06885",100,123,170,117,148,108,1560,1131,1259,462,606,528,707,847,784,712,776,619
"C2R79_RS06890",58,63,113,98,126,83,1739,960,1200,767,769,790,668,529,717,360,274,330
"C2R79_RS06900",2697,2532,4827,6291,8987,6043,1787,1086,1214,3368,3521,3928,809,762,901,2516,1946,1958
"C2R79_RS06915",377,398,693,459,646,467,4156,2770,3285,4303,4421,4872,2129,2061,2337,2512,1764,2109
"C2R79_RS06920",56,44,79,44,52,40,1205,879,978,755,837,761,556,573,596,319,293,330
"C2R79_RS06925",94,107,189,64,79,47,1644,1428,1481,2005,1910,2034,916,929,808,439,413,442
"C2R79_RS06930",178,186,302,86,121,110,226,196,221,397,352,399,159,153,130,105,65,71
"C2R79_RS06935",4385,4044,7414,2349,3318,2345,22619,14882,16671,31461,30054,35314,7220,6868,8595,14009,10800,11049
"C2R79_RS06940",36,38,52,28,30,21,32,25,21,32,43,44,16,10,18,25,18,19
"C2R79_RS06945",227,196,320,175,294,181,434,275,317,313,236,376,135,136,160,156,94,121
"C2R79_RS06950",4697,4400,8275,3046,3896,2720,1822,1465,1579,3480,3539,4013,1434,1585,1515,2452,2066,2005
"C2R79_RS06955",152,138,248,168,234,138,260,145,156,239,302,258,80,91,121,190,155,168
"C2R79_RS06960",338,328,598,218,313,254,575,485,477,231,259,300,292,243,300,227,169,170
"C2R79_RS06965",526,517,823,377,538,326,1533,1223,1166,746,705,781,710,683,871,672,468,483
"C2R79_RS06970",448,401,707,405,605,424,1652,1146,1355,716,715,762,895,727,904,732,496,607
"C2R79_RS06975",41,66,82,53,86,46,19,5,11,6,10,9,9,10,12,3,7,4
"C2R79_RS06980",870,828,1540,907,1324,902,1508,1135,1130,538,424,505,743,677,828,525,410,452
"C2R79_RS06985",68,67,117,88,113,78,19,19,10,7,13,7,14,6,13,6,7,2
"C2R79_RS06990",443,483,829,553,672,502,3766,2650,3078,1088,1138,1268,1486,1494,1728,903,760,766
"C2R79_RS06995",1262,1127,2058,1317,1793,1136,10865,7664,7904,2924,3251,3545,4106,4131,5061,3187,2493,2248
"C2R79_RS07000",640,592,964,602,807,581,1516,1091,1066,536,665,658,658,604,796,640,494,484
"C2R79_RS07005",18,6,6,11,23,11,9,9,9,4,1,4,2,0,5,3,4,9
"C2R79_RS07010",25,22,49,32,41,31,18,14,14,7,5,12,9,1,6,8,3,0
"C2R79_RS07015",210,192,357,231,283,255,1078,709,828,443,493,495,468,357,463,417,269,319
"C2R79_RS07020",11,17,30,19,18,14,16,7,17,4,5,7,14,6,4,5,3,4
"C2R79_RS07025",1180,1134,1920,1198,1585,1120,1509,1117,1146,991,673,852,615,487,585,565,404,414
"C2R79_RS07030",15,20,42,36,34,37,43,10,11,12,11,19,11,9,17,11,6,7
"C2R79_RS07035",540,463,943,450,690,353,7314,5368,6123,4299,4274,4464,3049,2722,3324,3082,2281,2569
"C2R79_RS07040",779,705,1291,750,1104,794,3815,2463,2678,2204,1822,2047,1501,1391,1631,1685,1230,1384
"C2R79_RS07045",276,264,385,247,359,246,492,380,452,279,249,299,267,204,252,281,170,181
"C2R79_RS07050",736,669,1361,853,1191,950,4579,3125,3507,1392,1477,1461,1794,1581,2038,1435,937,1034
"C2R79_RS07055",362,340,700,405,600,365,4480,3111,3258,1706,1921,2011,1612,1573,1861,1561,1174,1188
"C2R79_RS07060",2432,2175,4010,2713,3799,2553,86926,57048,64104,27099,27972,33643,31156,29198,37386,32126,25151,25445
"C2R79_RS07065",756,825,1388,1064,1554,1160,7205,4623,4912,2459,2597,2715,2855,2844,3388,3155,2297,2564
"C2R79_RS07070",50,70,71,76,113,75,32,6,20,14,5,10,17,7,10,15,3,8
"C2R79_RS07075",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"C2R79_RS07080",623,593,1168,653,985,577,2962,2010,2287,1047,1102,1092,1167,1022,1350,922,593,678
"C2R79_RS07085",515,521,881,639,837,628,843,514,600,258,278,284,375,319,407,194,141,168
"C2R79_RS07090",1549,1506,2720,1812,2592,1798,4840,3212,3422,2168,1892,2060,1905,1618,1951,1506,1070,1356
"C2R79_RS07095",3121,3123,5702,4042,5855,3689,32410,19502,22950,8616,8606,9705,11434,10100,12988,9168,6819,7880
"C2R79_RS07100",530,468,935,725,1097,709,460,276,365,130,174,147,192,158,221,175,99,116
"C2R79_RS07105",59,55,110,167,257,151,363,182,193,148,119,179,147,107,137,102,88,78
"C2R79_RS07110",221,210,362,613,816,554,5158,3137,3891,4205,4591,4890,1707,1677,1952,1289,979,1069
"C2R79_RS07115",1534,1399,2530,821,1010,686,1675,1143,1329,2328,2386,2632,727,646,794,1383,1139,1043
"C2R79_RS07120",192,205,368,128,208,142,6611,4309,5177,3347,2995,3493,2316,1836,2619,2122,1613,1840
"C2R79_RS07125",257,244,514,404,506,320,7836,5106,5984,12608,11295,12910,2898,2749,3238,5839,4655,4979
"C2R79_RS07130",158,185,297,111,140,93,2012,1044,1379,1828,1867,2114,546,535,592,649,456,526
"C2R79_RS07140",70,43,96,79,109,89,899,563,737,384,360,390,351,255,408,275,241,232
"C2R79_RS07145",51,30,53,55,73,48,239,115,139,100,84,92,98,49,83,60,38,64
"C2R79_RS07150",103,114,178,151,197,133,1554,830,1119,816,1002,1060,613,585,675,856,634,699
"C2R79_RS07155",70,80,109,82,116,84,2346,1188,1674,881,999,1076,722,615,883,703,516,714
"C2R79_RS07160",140,129,216,139,179,128,529,331,334,306,264,384,232,200,230,290,230,260
"C2R79_RS07165",327,301,518,298,435,262,6004,3725,4507,3514,3728,4403,2002,1963,2309,2939,2573,2841
"C2R79_RS07170",2,0,5,1,1,2,3,1,0,1,1,5,0,0,1,2,0,0
"C2R79_RS07175",262,265,490,236,352,223,371,199,261,148,104,124,183,130,183,105,63,91
"C2R79_RS07180",69,46,111,96,154,94,2693,1254,1836,412,396,433,1248,895,1356,469,289,443
"C2R79_RS07185",536,535,983,684,959,698,24564,13039,16361,7394,7427,8511,10701,9909,13204,9362,5832,8227
"C2R79_RS07190",583,549,951,754,1102,733,15493,8433,10370,4622,4637,5175,6988,6308,8378,6042,3859,5562
"C2R79_RS07195",1926,1765,3324,4645,6529,4389,28779,14732,19261,16977,17378,20136,15573,13492,17630,22092,12595,19563
"C2R79_RS07200",194,219,403,313,388,298,732,443,531,443,406,431,416,323,469,458,252,337
"C2R79_RS07205",789,733,1340,932,1227,937,9845,5504,6451,4941,5056,5751,4396,4000,5357,5102,3202,4109
"C2R79_RS07210",1578,1486,2561,1895,2660,1849,11691,6780,8258,7039,7192,8158,5948,5704,6926,7216,4929,5740
"C2R79_RS07215",2119,1869,3544,2624,3467,2505,21720,12885,15081,14095,13355,15957,10705,9963,12511,12815,8779,11122
"C2R79_RS07220",5053,4586,8629,7458,10490,7174,21430,13161,15055,12697,12802,14261,12371,11448,14285,16050,11884,13187
"C2R79_RS07225",282,252,506,549,734,436,6813,3767,4625,3023,2992,3476,3883,3504,4479,4438,2886,3735
"C2R79_RS07230",68,82,120,124,152,110,96,62,71,116,84,86,65,55,99,115,47,64
"C2R79_RS07235",1268,1199,1986,2347,3140,2198,6867,3816,4657,4783,5030,5450,4011,3661,4669,6583,4063,5513
"C2R79_RS07240",699,683,1223,1003,1396,899,3308,1884,2256,2588,2577,2938,1911,1835,2263,2922,2205,2598
"C2R79_RS07245",967,970,1751,1502,2066,1432,4117,2533,2889,2153,2490,2799,2625,2730,3083,3176,2566,2674
"C2R79_RS07250",449,408,743,730,906,661,1322,920,1084,748,901,989,1010,910,1033,1036,896,892
"C2R79_RS07255",275,242,410,313,361,272,4076,2348,2958,823,820,860,1528,1419,1815,915,681,752
"C2R79_RS07260",24,30,62,54,69,28,489,271,315,162,130,152,165,193,225,181,137,163
"C2R79_RS07265",405,358,650,388,567,358,4772,2829,3450,1625,1749,1946,1795,1602,1932,1428,1021,1159
"C2R79_RS07270",260,236,423,203,282,212,3006,1891,2428,1751,1622,1974,1246,1101,1320,991,700,853
"C2R79_RS07275",199,185,350,178,265,191,3198,1929,2553,1064,1205,1296,1264,1237,1432,758,606,577
"C2R79_RS07280",14,7,20,28,24,19,354,229,288,86,99,110,120,110,143,73,49,76
"C2R79_RS07285",215,173,342,150,168,133,643,358,435,411,337,348,169,170,233,268,210,208
"C2R79_RS07290",352,291,553,300,428,251,1122,562,785,687,726,769,376,338,474,540,326,383
"C2R79_RS07295",181,166,264,208,321,157,384,190,226,277,244,283,129,142,168,196,137,167
"C2R79_RS07300",46,33,77,91,113,71,91,45,82,47,66,63,22,18,41,42,20,26
"C2R79_RS07305",98,91,161,133,176,102,960,690,699,331,341,454,378,374,434,363,246,360
"C2R79_RS07310",30,23,47,54,66,43,1145,605,816,221,233,247,415,342,438,180,130,185
"C2R79_RS07315",36,27,60,65,70,37,376,215,281,142,128,129,186,151,190,162,113,132
"C2R79_RS07320",1112,983,1906,763,1108,756,864,574,608,560,394,487,382,328,379,346,255,277
"C2R79_RS07325",5369,4949,9183,4327,5649,4199,44998,28818,32815,17465,19277,22499,16480,15848,18715,17175,13514,13166
"C2R79_RS07330",137,197,292,170,200,160,115,66,50,39,32,32,25,21,35,22,21,23
"C2R79_RS07340",181,154,340,118,176,85,589,406,402,235,238,296,212,224,263,215,204,186
"C2R79_RS07345",37,36,67,52,69,45,424,298,309,206,179,215,131,144,158,88,80,113
"C2R79_RS07350",3268,3093,5374,2554,3753,2448,5874,4563,4620,4382,4274,5248,2720,2814,3051,3876,3483,3153
"C2R79_RS07355",5743,5476,10121,9073,12697,8753,12829,9059,9726,9928,10701,12037,6115,6034,6920,9778,8208,7711
"C2R79_RS07360",1951,1705,3310,915,1268,803,7878,5588,5671,7397,7136,8152,2635,2777,2954,4266,3815,3637
"C2R79_RS07365",2196,2016,3613,1033,1504,973,3066,2240,2504,3256,2990,3526,1263,1211,1315,2434,1894,1997
"C2R79_RS07370",415,384,716,294,394,251,2198,1446,1636,1655,1763,1894,1043,1042,1168,1465,1173,1330
"C2R79_RS07375",91,80,109,51,66,41,960,553,743,429,432,430,322,244,354,251,220,206
"C2R79_RS07380",89,90,168,132,171,87,288,157,219,117,93,88,138,123,155,96,62,77
"C2R79_RS07385",3222,3034,5589,2059,3005,1969,3850,2661,2921,2066,1861,2144,1778,1628,1930,1660,1166,1374
"C2R79_RS07390",31,43,98,24,45,33,68,33,44,35,30,45,5,3,5,15,2,11
"C2R79_RS07395",3530,3489,6302,3257,4704,3045,6453,4263,4852,6005,5619,6616,2299,2174,2607,3847,2702,3248
"C2R79_RS07405",1323,1218,2273,2130,3075,2046,10057,6046,7356,3414,3809,4265,3909,3593,4485,4982,4025,4074
"C2R79_RS07410",67,41,116,96,109,93,253,137,173,62,81,87,89,94,151,106,70,85
"C2R79_RS07415",168,130,288,201,304,221,76,63,37,20,26,23,37,33,40,30,21,20
"C2R79_RS07420",99,126,153,157,233,161,335,216,235,77,80,76,169,103,174,115,63,101
"C2R79_RS07425",8419,8085,14332,7117,10175,6934,45454,29333,33943,28568,29487,33568,16915,16032,18886,21772,17431,17453
"C2R79_RS07445",17,26,45,8,15,10,100,60,98,114,108,130,50,52,50,31,33,55
"C2R79_RS07450",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"C2R79_RS07460",0,0,1,0,1,2,4,5,3,5,7,3,1,0,2,2,0,1
"C2R79_RS07465",0,3,0,2,6,0,7,0,1,10,5,0,0,0,1,1,1,1
"C2R79_RS07470",31,46,76,48,99,59,393,307,328,630,605,696,193,187,233,225,212,221
"C2R79_RS07475",11,11,16,21,20,21,3,7,0,14,11,13,9,1,3,11,5,5
"C2R79_RS07485",4734,4404,7854,6623,9387,6311,13113,8766,9751,17702,16560,18455,5570,5293,6213,9399,7183,8005
"C2R79_RS07490",1055,978,1794,1520,2236,1393,16262,9814,12242,12348,11968,13775,6302,5810,7299,6354,4319,5102
"C2R79_RS07495",1639,1412,2523,1401,2061,1404,16447,9561,11671,8434,8185,9428,6177,5446,7326,6693,4878,5935
"C2R79_RS07500",62,64,107,70,96,62,139,110,95,77,62,83,80,51,88,77,52,61
"C2R79_RS07505",783,754,1446,465,577,409,1591,1059,1251,736,642,682,666,608,671,461,301,382
"C2R79_RS07510",615,610,1097,409,490,352,1837,1293,1426,941,971,1086,718,726,839,696,461,454
"C2R79_RS07515",2279,2150,3938,1477,2164,1452,7550,4714,5607,7300,7032,8473,2750,2650,3110,5883,4665,4844
"C2R79_RS07520",31,21,56,21,36,16,39,30,23,50,32,44,13,11,16,18,17,21
"C2R79_RS07525",518,514,940,388,560,416,4848,2883,3417,4137,3749,4453,1554,1382,1889,2379,1877,2118
"C2R79_RS07535",9,14,14,12,21,8,10,7,5,14,14,12,1,1,0,7,7,6
"C2R79_RS07550",658,649,1157,505,650,426,4382,2500,3480,2678,2592,2915,1963,1650,2173,2757,1937,2267
"C2R79_RS07555",2624,2470,4541,1789,2443,1660,8556,5397,6169,6598,7009,7940,3496,3411,4249,8391,5955,6593
"C2R79_RS07560",15,20,25,39,72,51,529,322,404,304,371,358,266,259,342,321,220,241
"C2R79_RS07565",6,12,16,12,24,16,21,10,25,33,28,20,16,5,10,21,11,10
"C2R79_RS07570",37,52,62,52,80,45,55,50,35,33,17,18,32,13,21,25,23,31
"C2R79_RS07575",372,390,693,486,639,398,969,679,707,1028,990,1110,453,504,525,953,721,809
"C2R79_RS07580",599,617,993,1148,1599,1077,1224,774,884,940,771,961,594,633,690,770,607,639
"C2R79_RS07585",244,184,310,403,642,339,852,490,635,376,335,375,414,399,436,304,233,295
"C2R79_RS07590",9,12,22,28,36,28,40,11,27,13,4,11,12,10,12,10,10,5
"C2R79_RS07595",6,7,10,6,13,3,157,97,92,35,42,52,71,66,72,51,29,54
"C2R79_RS07610",1089,1077,1847,1053,1467,1074,2634,1608,1954,1647,1613,1721,1251,1177,1309,1919,1615,1632
"C2R79_RS07615",962,921,1616,83,132,99,236,144,177,103,80,82,38,37,52,7,10,2
"C2R79_RS07620",566,541,937,505,714,450,552,366,434,512,505,584,238,192,298,485,398,473
"C2R79_RS07625",32,48,76,69,135,76,14,11,9,20,17,16,13,12,17,21,9,25
"C2R79_RS07630",2,1,10,5,4,6,1,3,0,0,1,0,1,0,0,1,0,0
"C2R79_RS07635",338,322,568,481,709,487,3849,2376,2729,821,894,995,1607,1400,1877,1040,813,938
"C2R79_RS07640",377,426,674,460,607,491,1399,799,946,534,624,636,574,573,665,492,400,445
"C2R79_RS07645",37,39,47,17,30,14,178,92,123,74,129,109,60,61,68,92,60,57
"C2R79_RS07650",13890,13719,24731,10397,14693,10061,10695,7590,8222,9414,8942,10398,4454,4139,4706,6768,5936,5785
"C2R79_RS07655",818,705,1358,1124,1590,1032,6051,3549,4386,2160,2265,2628,2544,2190,2796,2572,2005,2243
"C2R79_RS07660",781,807,1400,997,1439,973,440,369,375,337,311,306,237,247,227,350,277,277
"C2R79_RS07665",24,24,54,67,97,47,80,83,70,68,58,80,46,29,52,56,29,39
"C2R79_RS07675",41,41,65,61,82,44,229,161,219,64,67,64,128,99,133,60,48,62
"C2R79_RS07680",1,3,13,5,2,4,5,1,6,0,5,0,4,1,6,2,1,0
"C2R79_RS07685",6,5,8,6,10,6,274,150,176,29,52,40,98,93,106,44,46,48
"C2R79_RS07690",83,77,124,96,133,82,921,439,628,191,183,192,365,324,431,229,184,221
"C2R79_RS07695",172,173,300,214,265,181,2195,1228,1619,920,895,1054,850,787,1000,825,610,726
"C2R79_RS07700",128,137,235,220,299,176,218,102,144,99,100,106,93,87,96,89,44,59
"C2R79_RS07705",1178,1049,1954,1054,1393,915,1484,967,1184,1298,1269,1389,754,647,860,1540,1022,1369
"C2R79_RS07710",500,543,835,391,459,365,326,252,284,301,318,334,140,140,208,271,186,218
"C2R79_RS07715",101,92,167,201,288,149,237,155,179,145,126,159,105,107,117,111,73,88
"C2R79_RS07720",234,208,423,780,1040,681,786,598,645,485,505,625,800,703,748,1199,1109,1227
"C2R79_RS07725",196,196,305,268,430,274,438,274,306,229,216,218,264,298,298,251,182,261
"C2R79_RS07730",52,45,122,201,265,186,1875,1238,1464,553,591,706,985,903,1087,869,780,788
"C2R79_RS07735",21,22,30,40,81,33,122,80,68,32,45,40,68,40,74,44,27,28
"C2R79_RS07740",42070,39602,72730,17195,23558,16688,50080,36937,38859,52646,47651,59874,14385,14529,14925,33751,30098,28796
"C2R79_RS07745",2450,2413,4436,1283,1835,1155,1962,1237,1518,1896,1696,2072,525,485,561,463,379,491
"C2R79_RS07750",847,764,1439,1337,1831,1226,14586,9691,10732,6580,7211,8690,7835,7491,8490,10149,8823,8321
"C2R79_RS07755",9,18,22,48,45,37,61,34,56,41,25,47,38,17,58,46,19,42
"C2R79_RS07760",307,268,526,638,924,560,3369,2011,2441,1008,1008,1034,1363,1266,1616,1402,987,1209
"C2R79_RS07765",19,18,40,50,50,34,1108,605,777,193,194,192,374,358,442,296,144,198
"C2R79_RS07770",16,22,34,23,48,42,173,98,95,30,25,39,89,80,88,48,40,43
"C2R79_RS07775",16093,15750,28512,25254,37396,25597,2189,1439,1569,2036,2096,2379,1106,1090,1105,2425,1850,1938
"C2R79_RS07780",174,170,338,200,310,185,2390,1505,1679,821,858,998,992,906,1131,1087,886,878
"C2R79_RS07785",1232,1192,2233,1316,1824,1295,1577,963,1155,998,827,946,1069,898,1085,1254,928,1158
"C2R79_RS07795",167,165,314,226,354,271,648,399,490,479,514,529,313,266,381,454,373,427
"C2R79_RS07800",495,501,856,495,766,517,1705,1005,1184,609,625,718,676,574,745,725,564,586
"C2R79_RS07805",648,643,1218,588,865,574,1693,1292,1413,492,589,605,949,852,989,735,549,543
"C2R79_RS07810",142,133,247,119,189,121,2563,1573,1943,772,803,887,1086,982,1220,472,465,455
"C2R79_RS07815",7404,7341,12904,6586,9524,6423,1104,771,768,1450,1166,1375,593,502,592,1442,957,1101
"C2R79_RS07820",14345,13313,24123,11967,16779,11259,19153,13054,14742,21777,20751,24695,9299,8217,9963,21488,17314,18487
"C2R79_RS07825",194,176,337,280,402,229,1397,946,1069,888,891,949,664,603,677,671,523,543
"C2R79_RS07830",264,253,451,418,557,373,942,519,655,251,238,244,323,282,369,274,179,190
"C2R79_RS07835",224,268,425,224,309,204,1205,749,893,407,469,454,428,377,533,525,460,442
"C2R79_RS07840",22,13,28,11,16,3,14,12,7,4,2,5,5,4,7,3,5,5
"C2R79_RS07845",124,129,227,110,149,90,327,187,208,113,93,131,134,98,139,104,96,101
"C2R79_RS07850",126,133,212,157,202,126,1568,838,1014,432,430,485,489,467,568,444,295,372
"C2R79_RS07855",211,182,374,230,292,169,604,306,458,235,205,312,184,138,189,223,122,179
"C2R79_RS07860",141,122,239,164,236,135,869,499,627,362,356,403,317,276,349,285,194,237
"C2R79_RS07865",192,161,332,137,203,98,738,439,514,271,233,318,260,210,274,190,134,185
"C2R79_RS07870",619,621,1058,865,1315,907,1599,1144,1404,1281,1198,1204,794,725,865,995,837,868
"C2R79_RS07875",74,84,120,176,265,199,263,177,196,118,111,132,165,169,184,171,143,185
"C2R79_RS07880",117,136,199,386,557,423,15,13,7,15,23,18,10,15,32,46,22,37
"C2R79_RS07885",247,274,464,626,908,610,51,47,44,66,39,73,43,52,37,63,41,55
"C2R79_RS07890",293,263,449,277,363,240,711,486,522,699,638,726,326,308,364,449,370,362
"C2R79_RS07895",649,607,1148,1005,1318,883,5489,3893,4412,1058,1032,1258,2960,3258,3216,3568,3544,3146
"C2R79_RS07905",231,185,398,157,221,141,1012,501,621,205,133,149,316,272,430,235,200,172
"C2R79_RS07910",1140,1164,2030,784,1174,751,7277,4665,5349,2686,2820,3126,2952,2727,3335,3418,2495,2952
"C2R79_RS07915",2175,2041,3859,1161,1667,1061,10310,7108,7796,6217,5748,6679,4109,3912,4538,5983,4410,4889
"C2R79_RS07920",1239,1247,2198,683,871,553,5343,3510,4184,4120,4246,4711,2705,2711,2941,3929,3074,3134
"C2R79_RS07925",25,26,50,34,66,45,639,370,502,143,161,159,314,255,348,176,117,117
"C2R79_RS07930",143,145,227,165,259,163,4143,2637,3332,1079,1274,1407,2097,2009,2281,1988,1706,1489
"C2R79_RS07935",633,655,1122,724,986,638,6007,3658,4248,2375,2468,2781,2288,2199,2683,2598,1934,2073
"C2R79_RS07940",995,996,1670,1181,1542,1088,2950,1731,2112,1426,1394,1481,1154,1052,1443,1324,856,997
"C2R79_RS07945",2590,2406,4311,2313,3087,2059,18677,11391,13553,11630,12179,14142,7522,7106,9285,11927,8704,9873
"C2R79_RS07950",374,329,556,382,526,383,2418,1734,1906,1077,1184,1245,974,922,1123,915,728,795
"C2R79_RS07955",1329,1202,2321,1295,1705,1161,3472,2081,2451,1910,1857,2135,1329,1199,1539,1718,1228,1490
"C2R79_RS07965",2,1,4,3,7,3,14,4,12,4,5,6,31,26,16,11,3,15
"C2R79_RS07970",3,7,7,18,23,17,18,7,7,24,10,3,49,35,46,25,25,14
"C2R79_RS07975",12,4,21,19,23,19,22,12,11,39,20,30,86,76,68,30,31,39
"C2R79_RS07980",32,44,82,37,33,33,38,20,35,41,34,33,24,10,37,26,18,26
"C2R79_RS07985",6,4,20,19,30,13,381,208,308,81,68,88,150,156,212,59,49,54
"C2R79_RS07990",128,119,198,279,388,219,1523,947,1203,635,682,769,727,601,810,527,445,412
"C2R79_RS07995",17,19,37,21,49,21,23,10,16,14,8,8,6,4,10,11,7,7
"C2R79_RS08000",963,912,1694,1299,1734,1197,6138,3787,4549,4077,3883,4512,2870,2402,3201,4685,3393,4023
"C2R79_RS08005",574,595,1081,629,741,554,531,338,370,627,574,671,246,236,271,679,404,556
"C2R79_RS08010",4452,4105,7527,4265,5854,4035,7484,5024,6088,8635,7982,9100,3927,3179,3906,8567,6423,7283
