"gene_id","WT.1_count","WT.2_count","WT.3_count","KO.1_count","KO.2_count","KO.3_count","WT.12h.1_count","WT.12h.2_count","WT.12h.3_count","WT.24h.1_count","WT.24h.2_count","WT.24h.3_count","KO.12h.1_count","KO.12h.2_count","KO.12h.3_count","KO.24h.1_count","KO.24h.2_count","KO.24h.3_count"
"C2R79_RS05550",351,338,558,314,466,309,3957,2499,2911,2090,2010,2338,1746,1453,1814,1777,1448,1627
"C2R79_RS05555",81,118,175,123,142,104,127,59,109,119,137,136,75,29,87,109,57,69
"C2R79_RS05560",307,307,510,156,281,176,951,617,713,550,534,565,604,571,641,759,667,636
"C2R79_RS05565",26,40,44,29,40,25,287,178,221,127,117,102,113,109,118,100,79,67
"C2R79_RS05570",108,137,207,132,190,114,1404,917,1107,749,820,971,556,506,584,498,452,385
"C2R79_RS05575",1431,1492,2569,1870,2810,1977,4976,2624,3278,1940,1950,2137,1893,1673,2269,2016,1241,1642
"C2R79_RS05580",1021,968,1643,886,1223,841,1104,779,859,977,860,988,534,504,512,771,665,703
"C2R79_RS05585",62,39,102,42,52,25,24,10,21,32,34,42,19,13,13,38,6,14
"C2R79_RS05590",92,78,175,91,111,88,348,227,280,350,294,295,161,134,187,214,146,183
"C2R79_RS05595",77,64,127,45,63,47,1181,695,915,636,578,605,494,470,557,328,262,338
"C2R79_RS05600",2765,2753,4940,2894,4120,3105,34749,22083,25757,96947,88249,96288,11271,10007,12835,38382,29253,30979
"C2R79_RS05605",2195,2111,3826,304,411,284,2323,1235,1653,891,654,645,301,289,339,113,113,130
"C2R79_RS05610",58,67,98,61,72,55,28,21,27,6,5,7,11,7,16,9,7,6
"C2R79_RS05615",162,185,333,168,252,190,92,64,50,44,37,44,42,32,34,27,18,26
"C2R79_RS05620",4158,3924,7004,5463,7766,5035,25459,16163,18605,11443,11413,13601,10062,9393,11593,9355,7637,7805
"C2R79_RS05625",1411,1306,2429,1972,2622,1759,5287,3131,3698,3109,3159,3696,2165,2021,2511,3380,2389,2595
"C2R79_RS05630",1588,1509,2657,1984,2669,1859,3980,2326,2579,2622,2873,3104,1611,1484,1804,2812,2104,2410
"C2R79_RS05635",809,775,1330,1681,2275,1527,738,407,573,701,627,728,434,335,421,820,529,653
"C2R79_RS05640",673,625,1182,832,1099,723,1086,725,788,983,898,1054,484,447,583,919,633,758
"C2R79_RS05645",484,467,837,1169,1595,1101,2474,1485,1790,1549,1597,1791,1166,1157,1348,1816,1329,1481
"C2R79_RS05650",754,715,1320,1405,1943,1377,3379,2077,2490,2390,2388,2721,1403,1307,1718,2156,1628,1678
"C2R79_RS05655",821,910,1511,765,1193,774,1938,1171,1544,2767,2119,2564,741,670,840,1367,1043,1305
"C2R79_RS05660",749,767,1324,732,948,717,7470,4342,5049,3594,3581,4072,2374,2148,2679,3408,2735,2802
"C2R79_RS05665",54,38,93,59,100,59,259,133,164,110,110,100,97,102,116,85,61,57
"C2R79_RS05670",1,0,1,2,5,4,24,16,22,9,7,16,7,9,9,16,8,3
"C2R79_RS05675",2502,2300,4139,1664,2384,1593,696,428,485,675,633,703,346,235,361,668,459,536
"C2R79_RS05680",26749,25800,46436,24567,34315,22137,21754,13069,15088,53664,54640,60990,9492,9078,11573,42282,31900,31786
"C2R79_RS05685",11,9,28,20,32,17,187,128,178,81,53,44,157,122,143,63,58,53
"C2R79_RS05690",335,274,613,448,623,423,1345,867,1072,635,501,608,503,486,584,402,387,396
"C2R79_RS05695",20,41,60,49,64,41,21,6,8,11,6,12,2,9,8,3,9,2
"C2R79_RS05700",126,123,206,171,273,177,813,562,621,328,297,348,453,490,504,532,513,513
"C2R79_RS05705",164,159,290,144,236,145,3612,2253,2717,2036,1968,2378,1305,1363,1453,1456,1228,1225
"C2R79_RS05715",4517,4184,7660,2062,2868,2075,14692,10877,11815,10502,9299,12019,5122,4873,5087,7182,6617,6052
"C2R79_RS05720",3442,3163,6015,4777,6323,4093,9789,5416,6719,5797,5576,6608,3955,3491,4432,5794,4489,4855
"C2R79_RS05725",391,359,702,465,733,496,24,36,30,27,32,45,22,11,28,18,17,14
"C2R79_RS05730",176,174,326,131,204,125,144,123,119,109,100,97,60,52,64,71,51,59
"C2R79_RS05735",285,254,435,147,270,163,522,358,422,443,421,446,211,246,256,248,233,210
"C2R79_RS05740",1032,896,1579,821,1165,895,1196,772,894,1411,1375,1590,659,708,713,1211,916,958
"C2R79_RS05745",631,553,1076,775,1030,709,860,585,700,330,344,443,466,422,452,405,326,372
"C2R79_RS05750",122,150,231,71,104,75,305,203,218,140,134,135,126,103,131,123,97,138
"C2R79_RS05755",54,66,82,39,65,35,1774,936,1322,669,643,840,676,533,780,632,411,524
"C2R79_RS05760",16,18,23,19,26,14,683,324,425,148,169,168,237,211,263,160,94,120
"C2R79_RS05765",4,3,10,7,15,8,44,28,30,6,8,8,30,14,24,16,7,10
"C2R79_RS05770",8,3,14,12,11,11,59,23,41,12,17,21,22,20,21,14,9,12
"C2R79_RS05775",106,76,114,116,166,84,372,184,241,51,61,61,128,130,156,83,49,53
"C2R79_RS05785",379,345,579,755,1087,782,496,317,332,251,225,247,295,256,295,234,145,181
"C2R79_RS05790",364,359,600,644,872,633,1134,690,821,534,523,635,543,541,620,620,556,471
"C2R79_RS05795",27,35,38,31,58,43,0,2,1,2,0,0,3,0,0,4,0,0
"C2R79_RS05800",342,327,563,703,959,659,1398,832,977,560,440,623,603,574,698,558,393,483
"C2R79_RS05805",18,4,10,20,40,27,0,4,0,1,2,0,0,0,1,0,2,4
"C2R79_RS05810",0,3,4,13,20,8,16,5,9,9,8,5,13,9,11,17,5,10
"C2R79_RS05815",29,32,59,66,119,85,2,4,0,5,2,2,6,1,2,3,2,6
"C2R79_RS05820",217,173,325,436,652,418,1258,719,946,796,840,937,600,582,725,804,564,610
"C2R79_RS05825",6,19,15,25,35,25,16,4,2,7,3,7,4,0,8,3,5,6
"C2R79_RS05830",4,3,5,20,35,24,1,5,5,1,1,2,3,2,0,5,3,2
"C2R79_RS05850",19,20,35,44,74,58,209,140,151,233,226,262,116,125,117,87,70,80
"C2R79_RS05855",2,2,5,14,10,11,14,4,5,4,3,4,4,5,10,1,0,5
"C2R79_RS05860",27,25,48,18,37,26,302,139,229,55,64,60,119,96,108,57,46,41
"C2R79_RS05865",117,106,175,152,188,114,1727,976,1225,844,840,970,641,595,781,762,501,658
"C2R79_RS05870",2187,1883,3656,2022,2781,1853,5981,3749,4375,3652,3943,4650,2545,2263,2944,4482,3017,3620
"C2R79_RS05875",1127,1125,2203,896,1246,816,1766,1153,1272,931,982,1170,1152,998,1108,1509,1251,1360
